top_k,n_features,samples_per_feature,silhouette_score,lift_min,lift_max,lift_mean,cluster_0_size,cluster_1_size
50,53,73.98113207547169,0.9864234989976904,69.03074485580201,74.56704473850031,71.31557207042255,3797,124
100,103,38.067961165048544,0.9222797741665608,34.22049940191387,74.56704473850031,58.415602045847784,3797,124
200,203,19.31527093596059,0.8540945296054945,20.041502523017,74.56704473850031,42.185252374812954,3797,124
300,303,12.94059405940594,0.8385311133004406,17.101151955389245,74.56704473850031,34.155449268965796,3797,124
500,503,7.795228628230617,0.8158424481889053,13.847807370453816,74.56704473850031,26.707446091341705,3797,124
1000,1003,3.909272183449651,0.7883910092087132,9.218827423642107,74.56704473850031,18.860428229440625,3797,124
